strategy,buffer_scenario,buffer_fraction,cost_scenario,cycle_cost_bps,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events,oos_start_utc,oos_net_return,oos_max_drawdown,oos_margin_violation_count,oos_worst_maintenance_to_equity,always_on_oos_net_return,always_on_oos_max_drawdown,risk_improved_vs_always_on_oos,net_not_destroyed_vs_always_on_oos,candidate_by_predeclared_oos_rule
enter_0_5bp_exit_0bp_hold_48h,buffer_50pct,0.5,stress,100,-0.12496168511002004,-0.0833077900733467,150.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.14,14.000000000000002,-0.12496168511002004,42.488416898756476,0.12655112493069956,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.06374032651542427,-0.06374032651542427,0,0.12241818131318556,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_100pct,1.0,fee_only,31,-0.03590992100784973,-0.017954960503924866,200.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.043399999999999994,4.34,-0.03590992100784973,92.48841689875648,0.058136544395047056,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.017252131477617838,-0.017252131477617838,0,0.05697239071478287,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_100pct,1.0,base,50,-0.06126720226873139,-0.030633601134365696,200.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.07,7.000000000000001,-0.06126720226873139,92.48841689875648,0.058136544395047056,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.030262575299063177,-0.030262575299063177,0,0.05697239071478287,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_48h,buffer_100pct,1.0,stress,100,-0.12496168511002004,-0.06248084255501002,200.0,0.0063985199999999996,0.639852,0.00046885382613692794,0.046885382613692794,0.14,14.000000000000002,-0.12496168511002004,92.48841689875648,0.058136544395047056,0,,0.58038513210927,28.0,2026-06-27 12:00:00+00:00,-0.06374032651542427,-0.06374032651542427,0,0.05697239071478287,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_25pct,0.25,fee_only,31,-0.03620998280693899,-0.02896798624555119,125.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.043399999999999994,4.34,-0.03620998280693899,17.48841689875648,0.3074581871069478,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.017252131477617838,-0.017252131477617838,0,0.28761243633492267,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_25pct,0.25,base,50,-0.06155937190960703,-0.049247497527685626,125.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.07,7.000000000000001,-0.06155937190960703,17.48841689875648,0.3074581871069478,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.030262575299063177,-0.030262575299063177,0,0.28761243633492267,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_25pct,0.25,stress,100,-0.12523403058557248,-0.10018722446845799,125.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.14,14.000000000000002,-0.12523403058557248,17.48841689875648,0.3074581871069478,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.06374032651542427,-0.06374032651542427,0,0.28761243633492267,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_50pct,0.5,fee_only,31,-0.03620998280693899,-0.024139988537959328,150.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.043399999999999994,4.34,-0.03620998280693899,42.488416898756476,0.12655112493069956,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.017252131477617838,-0.017252131477617838,0,0.12241818131318556,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_50pct,0.5,base,50,-0.06155937190960703,-0.041039581273071356,150.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.07,7.000000000000001,-0.06155937190960703,42.488416898756476,0.12655112493069956,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.030262575299063177,-0.030262575299063177,0,0.12241818131318556,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_50pct,0.5,stress,100,-0.12523403058557248,-0.08348935372371498,150.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.14,14.000000000000002,-0.12523403058557248,42.488416898756476,0.12655112493069956,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.06374032651542427,-0.06374032651542427,0,0.12241818131318556,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_100pct,1.0,fee_only,31,-0.03620998280693899,-0.018104991403469495,200.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.043399999999999994,4.34,-0.03620998280693899,92.48841689875648,0.058136544395047056,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.017252131477617838,-0.017252131477617838,0,0.05697239071478287,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_100pct,1.0,base,50,-0.06155937190960703,-0.030779685954803515,200.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.07,7.000000000000001,-0.06155937190960703,92.48841689875648,0.058136544395047056,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.030262575299063177,-0.030262575299063177,0,0.05697239071478287,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_0_5bp_exit_0bp_hold_72h,buffer_100pct,1.0,stress,100,-0.12523403058557248,-0.06261701529278624,200.0,0.00622905,0.622905,0.0003277086692087261,0.03277086692087261,0.14,14.000000000000002,-0.12523403058557248,92.48841689875648,0.058136544395047056,0,,0.6341244961934617,28.0,2026-06-27 12:00:00+00:00,-0.06374032651542427,-0.06374032651542427,0,0.05697239071478287,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_25pct,0.25,fee_only,31,-0.02720036607195153,-0.021760292857561224,125.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.030999999999999996,3.0999999999999996,-0.02720036607195153,17.5870277531486,0.30564827029287006,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.01876357431509912,-0.01876357431509912,0,0.30564827029287006,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_25pct,0.25,base,50,-0.04554579818216198,-0.03643663854572958,125.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.05,5.0,-0.04554579818216198,17.5870277531486,0.30564827029287006,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.031753768493086865,-0.031753768493086865,0,0.30564827029287006,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_25pct,0.25,stress,100,-0.0922657672189866,-0.07381261377518929,125.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.1,10.0,-0.0922657672189866,17.5870277531486,0.30564827029287006,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.06517942839570157,-0.06517942839570157,0,0.30564827029287006,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_50pct,0.5,fee_only,31,-0.02720036607195153,-0.01813357738130102,150.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.030999999999999996,3.0999999999999996,-0.02720036607195153,42.5870277531486,0.12622258222623076,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.01876357431509912,-0.01876357431509912,0,0.12622258222623076,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_50pct,0.5,base,50,-0.04554579818216198,-0.030363865454774652,150.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.05,5.0,-0.04554579818216198,42.5870277531486,0.12622258222623076,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.031753768493086865,-0.031753768493086865,0,0.12622258222623076,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_50pct,0.5,stress,100,-0.0922657672189866,-0.0615105114793244,150.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.1,10.0,-0.0922657672189866,42.5870277531486,0.12622258222623076,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.06517942839570157,-0.06517942839570157,0,0.12622258222623076,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_100pct,1.0,fee_only,31,-0.02720036607195153,-0.013600183035975766,200.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.030999999999999996,3.0999999999999996,-0.02720036607195153,92.5870277531486,0.058058291132040016,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.01876357431509912,-0.01876357431509912,0,0.058058291132040016,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_100pct,1.0,base,50,-0.04554579818216198,-0.02277289909108099,200.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.05,5.0,-0.04554579818216198,92.5870277531486,0.058058291132040016,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.031753768493086865,-0.031753768493086865,0,0.058058291132040016,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_24h,buffer_100pct,1.0,stress,100,-0.0922657672189866,-0.0461328836094933,200.0,0.00341537,0.341537,3.33501007530046e-05,0.0033350100753004597,0.1,10.0,-0.0922657672189866,92.5870277531486,0.058058291132040016,0,,0.2507836990595611,20.0,2026-06-27 12:00:00+00:00,-0.06517942839570157,-0.06517942839570157,0,0.058058291132040016,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_25pct,0.25,fee_only,31,-0.02302727275048011,-0.018421818200384087,125.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.027899999999999998,2.7899999999999996,-0.02302727275048011,17.5870277531486,0.30564827029287006,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.015104316585531463,-0.015104316585531463,0,0.30564827029287006,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_25pct,0.25,base,50,-0.03962480794531731,-0.03169984635625385,125.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.045000000000000005,4.500000000000001,-0.03962480794531731,17.5870277531486,0.30564827029287006,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.02629099911480759,-0.02629099911480759,0,0.30564827029287006,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_25pct,0.25,stress,100,-0.0820392699164838,-0.06563141593318704,125.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.09000000000000001,9.000000000000002,-0.0820392699164838,17.5870277531486,0.30564827029287006,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.055175426814533246,-0.055175426814533246,0,0.30564827029287006,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_50pct,0.5,fee_only,31,-0.02302727275048011,-0.01535151516698674,150.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.027899999999999998,2.7899999999999996,-0.02302727275048011,42.5870277531486,0.12622258222623076,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.015104316585531463,-0.015104316585531463,0,0.12622258222623076,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_50pct,0.5,base,50,-0.03962480794531731,-0.02641653863021154,150.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.045000000000000005,4.500000000000001,-0.03962480794531731,42.5870277531486,0.12622258222623076,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.02629099911480759,-0.02629099911480759,0,0.12622258222623076,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_50pct,0.5,stress,100,-0.0820392699164838,-0.0546928466109892,150.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.09000000000000001,9.000000000000002,-0.0820392699164838,42.5870277531486,0.12622258222623076,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.055175426814533246,-0.055175426814533246,0,0.12622258222623076,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_100pct,1.0,fee_only,31,-0.02302727275048011,-0.011513636375240055,200.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.027899999999999998,2.7899999999999996,-0.02302727275048011,92.5870277531486,0.058058291132040016,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.015104316585531463,-0.015104316585531463,0,0.058058291132040016,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_100pct,1.0,base,50,-0.03962480794531731,-0.019812403972658654,200.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.045000000000000005,4.500000000000001,-0.03962480794531731,92.5870277531486,0.058058291132040016,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.02629099911480759,-0.02629099911480759,0,0.058058291132040016,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_48h,buffer_100pct,1.0,stress,100,-0.0820392699164838,-0.0410196349582419,200.0,0.00437541,0.43754099999999996,0.0002521810106326239,0.025218101063262388,0.09000000000000001,9.000000000000002,-0.0820392699164838,92.5870277531486,0.058058291132040016,0,,0.32601880877742945,18.0,2026-06-27 12:00:00+00:00,-0.055175426814533246,-0.055175426814533246,0,0.058058291132040016,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_25pct,0.25,fee_only,31,-0.023036645778017895,-0.018429316622414316,125.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.027899999999999998,2.7899999999999996,-0.023036645778017895,17.5870277531486,0.30564827029287006,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.014997067971154299,-0.014997067971154299,0,0.30564827029287006,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_25pct,0.25,base,50,-0.03963391752181866,-0.03170713401745493,125.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.045000000000000005,4.500000000000001,-0.03963391752181866,17.5870277531486,0.30564827029287006,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.02618486298149103,-0.02618486298149103,0,0.30564827029287006,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_25pct,0.25,stress,100,-0.08204771412624468,-0.06563817130099574,125.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.09000000000000001,9.000000000000002,-0.08204771412624468,17.5870277531486,0.30564827029287006,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.05507216836158757,-0.05507216836158757,0,0.30564827029287006,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_50pct,0.5,fee_only,31,-0.023036645778017895,-0.01535776385201193,150.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.027899999999999998,2.7899999999999996,-0.023036645778017895,42.5870277531486,0.12622258222623076,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.014997067971154299,-0.014997067971154299,0,0.12622258222623076,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_50pct,0.5,base,50,-0.03963391752181866,-0.026422611681212443,150.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.045000000000000005,4.500000000000001,-0.03963391752181866,42.5870277531486,0.12622258222623076,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.02618486298149103,-0.02618486298149103,0,0.12622258222623076,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_50pct,0.5,stress,100,-0.08204771412624468,-0.05469847608416312,150.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.09000000000000001,9.000000000000002,-0.08204771412624468,42.5870277531486,0.12622258222623076,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.05507216836158757,-0.05507216836158757,0,0.12622258222623076,0.0003536480141645981,-0.0050183206104308375,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_100pct,1.0,fee_only,31,-0.023036645778017895,-0.011518322889008947,200.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.027899999999999998,2.7899999999999996,-0.023036645778017895,92.5870277531486,0.058058291132040016,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.014997067971154299,-0.014997067971154299,0,0.058058291132040016,0.0038221436359568983,-0.0015684510512233851,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_100pct,1.0,base,50,-0.03963391752181866,-0.01981695876090933,200.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.045000000000000005,4.500000000000001,-0.03963391752181866,92.5870277531486,0.058058291132040016,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.02618486298149103,-0.02618486298149103,0,0.058058291132040016,0.0028670506386518912,-0.0025184151327440896,False,False,False
enter_1bp_exit_0_25bp_hold_72h,buffer_100pct,1.0,stress,100,-0.08204771412624468,-0.04102385706312234,200.0,0.00432894,0.432894,0.00028942506682683167,0.028942506682683167,0.09000000000000001,9.000000000000002,-0.08204771412624468,92.5870277531486,0.058058291132040016,0,,0.37259292431706226,18.0,2026-06-27 12:00:00+00:00,-0.05507216836158757,-0.05507216836158757,0,0.058058291132040016,0.0003536480141645981,-0.0050183206104308375,False,False,False
