strategy,buffer_scenario,buffer_fraction,cost_scenario,cycle_cost_bps,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events
positive_last_settled_funding,buffer_25pct,0.25,stress,100,-0.2977179507073654,-0.2381743605658923,125.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.36,36.0,-0.2977179507073654,16.235715885342245,0.33522738659442597,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_50pct,0.5,fee_only,31,-0.09895942206454256,-0.06597294804302838,150.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.11159999999999998,11.159999999999998,-0.09895942206454256,41.235715885342245,0.13198889576372186,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_50pct,0.5,base,50,-0.15864655606302436,-0.1057643707086829,150.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.18,18.0,-0.15864655606302436,41.235715885342245,0.13198889576372186,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_50pct,0.5,stress,100,-0.2977179507073654,-0.19847863380491026,150.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.36,36.0,-0.2977179507073654,41.235715885342245,0.13198889576372186,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_100pct,1.0,fee_only,31,-0.09895942206454256,-0.04947971103227128,200.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.11159999999999998,11.159999999999998,-0.09895942206454256,91.23571588534224,0.059654890115322635,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_100pct,1.0,base,50,-0.15864655606302436,-0.07932327803151218,200.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.18,18.0,-0.15864655606302436,91.23571588534224,0.059654890115322635,0,,0.7595163457232422,72.0
positive_last_settled_funding,buffer_100pct,1.0,stress,100,-0.2977179507073654,-0.1488589753536827,200.0,0.0075831200000000005,0.7583120000000001,-9.624893619042396e-05,-0.009624893619042396,0.36,36.0,-0.2977179507073654,91.23571588534224,0.059654890115322635,0,,0.7595163457232422,72.0
funding_above_threshold,buffer_25pct,0.25,fee_only,31,-0.10407348334863065,-0.08325878667890452,125.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.1147,11.469999999999999,-0.10407348334863065,20.29228270496343,0.25809669325525336,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_25pct,0.25,base,50,-0.1650128221532351,-0.13201025772258806,125.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.185,18.5,-0.1650128221532351,20.29228270496343,0.25809669325525336,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_25pct,0.25,stress,100,-0.30652058483540123,-0.245216467868321,125.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.37,37.0,-0.30652058483540123,20.29228270496343,0.25809669325525336,0,,0.28302731751007615,74.0
funding_above_threshold,buffer_50pct,0.5,fee_only,31,-0.10407348334863065,-0.06938232223242043,150.0,0.00380355,0.380355,0.0010897201199998596,0.10897201199998596,0.1147,11.469999999999999,-0.10407348334863065,45.292282704963434,0.11563495483034868,0,,0.28302731751007615,74.0
