strategy,buffer_scenario,buffer_fraction,cost_scenario,fee_multiplier,return_on_notional,return_on_capital_employed,capital_employed_usdt_per_100_notional,funding_received_paid_return,funding_received_paid_usdt_per_100_notional,execution_hedge_return,execution_hedge_usdt_per_100_notional,actual_fee_return,spread_slippage_proxy_return,cost_return,cost_usdt_per_100_notional,max_drawdown,worst_margin_balance_usdt,worst_maintenance_to_equity,margin_violation_count,first_violation_observed_at_utc,effective_exposure,turnover_events,analysis_window_start_utc,analysis_window_end_utc_exclusive,mark_price_change_over_window,worst_adverse_short_excursion,policy_breach_rise_from_entry
positive_last_settled_funding,buffer_25pct,0.25,base,1.5,-0.03488688940578666,-0.027909511524629328,125.0,0.00556685,0.556685,-0.0030910312558904973,-0.30910312558904973,0.025286954569721805,0.012643477284860902,0.03793043185458271,3.793043185458271,-0.03488688940578666,4.94528123679079,1.2171958681295743,1,2023-11-01 21:00:00+00:00,0.0818452380952381,16.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
positive_last_settled_funding,buffer_25pct,0.25,stress,3.0,-0.07093401117358489,-0.05674720893886791,125.0,0.00556685,0.556685,-0.0030910312558904973,-0.30910312558904973,0.025286954569721805,0.05057390913944361,0.07586086370916542,7.586086370916542,-0.07093401117358489,4.94528123679079,1.2171958681295743,1,2023-11-01 21:00:00+00:00,0.0818452380952381,16.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
positive_last_settled_funding,buffer_50pct,0.5,fee_only,1.0,-0.007559891511311867,-0.005039927674207911,150.0,0.019578610000000003,1.9578610000000003,-0.0014537037555173438,-0.14537037555173438,0.02566932322676968,0.0,0.02566932322676968,2.5669323226769682,-0.02305007393603331,6.816847366042509,1.0629336396458624,1,2023-12-05 17:00:00+00:00,0.18253968253968253,16.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
positive_last_settled_funding,buffer_50pct,0.5,base,1.5,-0.02024148544095894,-0.01349432362730596,150.0,0.019578610000000003,1.9578610000000003,-0.0014537037555173438,-0.14537037555173438,0.02566932322676968,0.01283466161338484,0.03850398484015452,3.850398484015452,-0.034447322278478576,6.816847366042509,1.0629336396458624,1,2023-12-05 17:00:00+00:00,0.18253968253968253,16.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
positive_last_settled_funding,buffer_50pct,0.5,stress,3.0,-0.057381448602303764,-0.03825429906820251,150.0,0.019578610000000003,1.9578610000000003,-0.0014537037555173438,-0.14537037555173438,0.02566932322676968,0.05133864645353936,0.07700796968030904,7.700796968030904,-0.0678989259489996,6.816847366042509,1.0629336396458624,1,2023-12-05 17:00:00+00:00,0.18253968253968253,16.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.42857142857142855
positive_last_settled_funding,buffer_100pct,1.0,fee_only,1.0,-0.05571261633451052,-0.02785630816725526,200.0,0.11733171,11.733171,-0.0024003858293166758,-0.24003858293166758,0.17201730982264146,0.0,0.17201730982264146,17.201730982264145,-0.11897049735128562,39.30327490823499,0.20967959219249543,0,,0.9046378968253969,110.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
positive_last_settled_funding,buffer_100pct,1.0,base,1.5,-0.13368198111453578,-0.06684099055726789,200.0,0.11733171,11.733171,-0.0024003858293166758,-0.24003858293166758,0.17201730982264146,0.08600865491132073,0.25802596473396217,25.802596473396218,-0.18053391130148166,39.30327490823499,0.20967959219249543,0,,0.9046378968253969,110.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
positive_last_settled_funding,buffer_100pct,1.0,stress,3.0,-0.3313178612881498,-0.1656589306440749,200.0,0.11733171,11.733171,-0.0024003858293166758,-0.24003858293166758,0.17201730982264146,0.3440346196452829,0.5160519294679243,51.605192946792435,-0.340818552833988,39.30327490823499,0.20967959219249543,0,,0.9046378968253969,110.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.9047619047619048
funding_above_threshold,buffer_25pct,0.25,fee_only,1.0,-0.02136073346606493,-0.017088586772851945,125.0,0.00805467,0.8054669999999999,-0.001252092070227584,-0.1252092070227584,0.028359968854104908,0.0,0.028359968854104908,2.835996885410491,-0.025966345298666926,4.710225724378455,1.2830691706560544,1,2023-11-09 03:00:00+00:00,0.08854166666666667,18.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
funding_above_threshold,buffer_25pct,0.25,base,1.5,-0.03516669509158954,-0.02813335607327163,125.0,0.00805467,0.8054669999999999,-0.001252092070227584,-0.1252092070227584,0.028359968854104908,0.014179984427052454,0.04253995328115737,4.253995328115737,-0.03880608303919997,4.710225724378455,1.2830691706560544,1,2023-11-09 03:00:00+00:00,0.08854166666666667,18.0,2023-10-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,1.187144526684846,1.7326959393028734,0.19047619047619047
